Packet number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (microteslas),Magnetometer Y (microteslas),Magnetometer Z (microteslas),Timestamp
166,0.017453292519943295,0.10253809355466686,-0.3741549583962844,-0.22,0.21,9.81,17.875,8.5625,-47.6875,1744474920.0254118
167,0.0,0.039269908169872414,-0.20725784867432664,-0.1,0.11,9.8,17.875,8.0,-46.0625,1744474920.0435472
168,-0.02945243112740431,-0.014180800172453928,0.015271630954950384,-0.24,-0.2,9.77,17.875,8.0,-46.0625,1744474920.0670419
169,-0.001090830782496456,-0.00545415391248228,-0.038179077387375956,-0.24,-0.05,9.84,17.875,8.0,-46.0625,1744474920.08403
170,-0.007635815477475192,-0.016362461737446838,0.0272707695624114,-0.19,-0.15,9.790000000000001,18.25,8.6875,-46.0625,1744474920.107229
171,-0.006544984694978736,-0.025089107997418487,0.08290313946973066,-0.21,-0.18,9.8,18.25,8.6875,-46.0625,1744474920.1289704
172,0.02399827721492203,0.003272492347489368,-0.05126904677733343,-0.33,-0.21,9.81,17.875,8.375,-46.875,1744474920.1450684
173,0.020725784867432664,0.001090830782496456,-0.14726215563702155,-0.17,0.0,9.78,17.875,8.375,-46.875,1744474920.1687355
174,0.017453292519943295,0.013089969389957472,-0.20289452554434081,-0.04,0.1,9.8,18.5625,7.25,-46.5,1744474920.190198
175,0.004363323129985824,0.0,-0.10690141668465268,-0.23,0.06,9.83,18.5625,7.25,-46.5,1744474920.2079625
176,0.001090830782496456,-0.001090830782496456,-0.10144726277217041,-0.23,-0.17,9.82,18.5625,7.25,-46.5,1744474920.228956
177,-0.003272492347489368,0.002181661564992912,-0.08944812416470939,-0.03,-0.02,9.84,19.25,8.0625,-46.5,1744474920.2481492
178,-0.01090830782496456,0.003272492347489368,-0.044724062082354694,0.1,0.01,9.81,19.25,8.0625,-46.5,1744474920.2688408
179,0.004363323129985824,-0.00545415391248228,-0.002181661564992912,0.12,-0.03,9.790000000000001,19.25,8.0625,-46.5,1744474920.286894
180,0.001090830782496456,0.0,-0.0916297857297023,-0.03,0.0,9.82,18.25,8.0625,-45.6875,1744474920.3085492
181,0.01090830782496456,-0.014180800172453928,-0.05781403147231216,-0.2,-0.07,9.8,18.25,8.0625,-45.6875,1744474920.3290744
182,0.00545415391248228,-0.015271630954950384,0.003272492347489368,-0.1,0.0,9.83,18.25,7.25,-46.875,1744474920.3493075
183,0.001090830782496456,-0.00545415391248228,-0.032724923474893676,-0.16,-0.09,9.81,18.25,7.25,-46.875,1744474920.3696811
184,-0.003272492347489368,-0.002181661564992912,-0.11344640137963143,-0.2,-0.1,9.78,18.25,7.25,-46.875,1744474920.3879077
185,0.004363323129985824,-0.01090830782496456,-0.05672320068981571,-0.33,-0.01,9.83,19.6875,6.875,-45.6875,1744474920.4094555
186,-0.001090830782496456,-0.001090830782496456,-0.08944812416470939,-0.19,-0.08,9.8,19.6875,6.875,-45.6875,1744474920.4296358
187,0.004363323129985824,-0.003272492347489368,-0.10253809355466686,0.05,0.0,9.84,18.875,6.875,-46.5,1744474920.4465854
188,0.0,-0.003272492347489368,-0.1189005552921137,-0.02,-0.12,9.8,18.875,6.875,-46.5,1744474920.4693637
189,0.002181661564992912,0.004363323129985824,-0.11235557059713497,-0.24,-0.08,9.81,18.875,6.875,-46.5,1744474920.4868178
190,0.0,-0.003272492347489368,-0.13962634015954636,-0.31,0.14,9.81,18.875,7.25,-47.25,1744474920.5093248
191,-0.004363323129985824,0.002181661564992912,-0.050178215994836975,-0.16,0.0,9.84,18.875,7.25,-47.25,1744474920.529702
192,0.003272492347489368,-0.003272492347489368,-0.002181661564992912,-0.06,-0.04,9.790000000000001,19.6875,5.875,-46.5,1744474920.549497
193,0.0,-0.003272492347489368,0.04145156973486533,-0.17,-0.05,9.82,19.6875,5.875,-46.5,1744474920.5701747
194,0.002181661564992912,-0.001090830782496456,0.011999138607461015,-0.17,-0.05,9.8,20.0625,6.875,-46.875,1744474920.5896018
195,0.0,-0.00545415391248228,-0.025089107997418487,-0.13,0.0,9.81,20.0625,6.875,-46.875,1744474920.6098583
196,0.001090830782496456,-0.002181661564992912,-0.03490658503988659,-0.09,0.0,9.8,20.0625,6.875,-46.875,1744474920.6301022
197,0.0,0.0,-0.044724062082354694,-0.07,-0.01,9.81,20.375,6.1875,-46.5,1744474920.6496377
198,0.0,0.003272492347489368,-0.0545415391248228,-0.06,-0.03,9.82,20.375,6.1875,-46.5,1744474920.6711302
199,0.0,-0.004363323129985824,-0.04254240051736178,-0.09,-0.03,9.83,19.25,6.5625,-46.5,1744474920.688889
200,0.002181661564992912,-0.00545415391248228,-0.014180800172453928,-0.04,-0.01,9.8,19.25,6.5625,-46.5,1744474920.714011
201,0.003272492347489368,-0.003272492347489368,-0.002181661564992912,-0.06,0.0,9.83,19.25,6.5625,-46.5,1744474920.73042
202,0.004363323129985824,-0.003272492347489368,0.001090830782496456,-0.05,0.0,9.84,18.875,6.5625,-45.6875,1744474920.750709
203,0.001090830782496456,-0.002181661564992912,0.001090830782496456,-0.02,-0.01,9.8,18.875,6.5625,-45.6875,1744474920.7718093
204,-0.001090830782496456,0.001090830782496456,0.002181661564992912,-0.02,0.0,9.83,19.6875,6.5625,-46.5,1744474920.7903693
205,0.001090830782496456,0.002181661564992912,-0.004363323129985824,-0.03,-0.03,9.790000000000001,19.6875,6.5625,-46.5,1744474920.8114629
206,0.002181661564992912,-0.001090830782496456,-0.016362461737446838,-0.07,-0.01,9.84,19.6875,6.5625,-46.5,1744474920.8324924
207,0.002181661564992912,-0.003272492347489368,-0.12326387842209953,-0.03,0.0,9.8,19.6875,6.5625,-46.5,1744474920.8506453
208,0.002181661564992912,-0.00545415391248228,-0.008726646259971648,-0.02,0.0,9.81,19.6875,6.5625,-46.5,1744474920.8705528
