Packet number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
258,0,-0.006544985,-0.023998277,-0.21,-0.43,9.41,0,0,0
259,0.001090831,0,-0.037088247,-0.33,-0.26,9.39,0,0,0
260,-0.002181662,0.002181662,-0.006544985,-0.35,-0.36,9.42,0,0,0
261,-0.002181662,0.004363323,0.007635815,-0.32,-0.07,9.37,0,0,0
262,-0.002181662,-0.006544985,-0.013089969,-0.37,-0.22,9.43,0,0,0
263,-0.002181662,-0.003272492,-0.067631509,-0.34,-0.27,9.43,0,0,0
264,0,-0.005454154,-0.06981317,-0.27,-0.37,9.4,0,0,0
265,-0.001090831,-0.005454154,-0.050178216,-0.34,-0.51,9.39,0,0,0
266,0.001090831,0.001090831,-0.042542401,-0.32,-0.22,9.4,0,0,0
267,-0.004363323,0.002181662,-0.031634093,-0.36,-0.26,9.42,0,0,0
268,-0.007635815,-0.002181662,-0.026179939,-0.39,-0.35,9.39,0,0,0
269,-0.003272492,-0.002181662,-0.003272492,-0.36,-0.1,9.4,0,0,0
270,0.004363323,0,-0.008726646,-0.3,-0.42,9.41,0,0,0
271,0,-0.003272492,0.008726646,-0.32,-0.39,9.4,0,0,0
272,-0.001090831,-0.002181662,-0.017453293,-0.29,-0.31,9.4,0,0,0
273,-0.002181662,-0.004363323,-0.050178216,-0.34,-0.15,9.39,0,0,0
274,0,-0.003272492,-0.062177355,-0.33,-0.16,9.4,0,0,0
275,-0.002181662,-0.002181662,-0.050178216,-0.35,-0.21,9.38,0,0,0
276,0,-0.003272492,-0.021816616,-0.22,-0.21,9.43,0,0,0
277,0.001090831,-0.004363323,0.011999139,-0.23,-0.31,9.41,0,0,0
278,-0.001090831,0.001090831,0.042542401,-0.38,-0.37,9.43,0,0,0
279,0.002181662,-0.001090831,0.004363323,-0.36,-0.27,9.38,0,0,0
280,-0.002181662,-0.002181662,-0.026179939,-0.35,-0.21,9.39,0,0,0
281,-0.005454154,-0.005454154,-0.023998277,-0.3,-0.28,9.42,0,0,0
282,0,-0.001090831,-0.005454154,-0.36,-0.29,9.4,0,0,0
283,-0.001090831,-0.004363323,-0.009817477,-0.35,-0.15,9.39,0,0,0
284,-0.001090831,-0.005454154,-0.037088247,-0.3,-0.26,9.39,0,0,0
285,0.002181662,-0.008726646,-0.035997416,-0.3,-0.34,9.41,0,0,0
286,0.004363323,-0.009817477,-0.018544123,-0.32,-0.41,9.42,0,0,0
287,-0.003272492,-0.002181662,0.0141808,-0.35,-0.29,9.41,0,0,0
288,-0.001090831,0.004363323,0.035997416,-0.23,-0.19,9.4,0,0,0
289,0.001090831,0.005454154,0.068722339,-0.4,-0.15,9.39,0,0,0
290,0.006544985,-0.003272492,0.011999139,-0.36,-0.28,9.39,0,0,0
